PropertyID,Location,NumBedrooms,NumBathrooms,SquareFeet,LotSize,YearBuilt,PropertyType,HasPool,HasGarage,NumFloors,NumRooms,OverallCondition,View,YearLastRemodeled,DistanceToSchool,DistanceToHospital,DistanceToWork,DistanceToPark,Price
19,Suburban,4,3,2300,7200,1992,SingleFamily,Yes,Yes,2,7,6,Garden,2017,0.7,1.7,3.5,0.3,330000
20,CityCenter,2,2,1500,2400,1938,Condo,No,No,1,5,5,City,2007,0.2,0.6,1.0,0.1,240000
21,Rural,3,2,2100,8700,1990,SingleFamily,No,Yes,1,6,6,Mountain,2013,2.3,9.8,16.0,1.4,380000
22,Suburban,4,3,2400,7500,1995,SingleFamily,Yes,Yes,2,7,7,Garden,2020,0.6,1.5,3.8,0.4,340000
23,CityCenter,2,1,1100,2000,1942,Condo,No,No,1,4,5,City,2002,0.1,0.4,0.6,0.1,210000
24,Suburban,4,3,2100,7100,1988,SingleFamily,Yes,Yes,2,7,6,Garden,2016,0.4,1.7,3.6,0.3,310000
25,CityCenter,2,2,1400,2300,1935,Condo,No,No,1,5,4,City,2006,0.2,0.6,0.9,0.1,220000
26,Rural,3,2,1800,8500,1985,SingleFamily,No,Yes,1,6,5,Mountain,2011,2.0,8.2,15.2,1.1,350000
27,Suburban,4,3,2200,7300,1991,SingleFamily,Yes,Yes,2,7,7,Garden,2018,0.5,1.6,3.9,0.4,330000
28,CityCenter,2,1,1200,2100,1932,Condo,No,Yes,1,4,5,City,2000,0.2,0.5,0.8,0.2,230000
29,Rural,3,2,2000,8800,1993,SingleFamily,No,Yes,1,6,6,Mountain,2015,2.1,8.7,16.5,1.3,370000
30,Suburban,4,3,2500,7200,1998,SingleFamily,Yes,Yes,2,7,7,Garden,2021,0.6,1.4,3.5,0.3,360000
31,CityCenter,2,2,1600,2500,1939,Condo,No,No,1,5,4,City,2008,0.1,0.4,0.7,0.1,250000
32,Suburban,5,4,3200,10500,2006,SingleFamily,Yes,Yes,2,8,8,Waterfront,2022,1.0,2.6,6.2,0.6,700000
33,CityCenter,1,1,900,800,1940,Condo,No,No,1,3,4,City,2003,0.2,0.6,0.9,0.1,190000
34,Suburban,4,3,2100,7000,1989,SingleFamily,Yes,Yes,2,7,6,Garden,2017,0.5,1.6,3.7,0.3,300000
35,Rural,3,2,1900,8600,1991,SingleFamily,No,Yes,1,6,5,Mountain,2014,2.0,8.6,16.2,1.2,350000
36,Suburban,4,3,2300,7400,1996,SingleFamily,Yes,Yes,2,7,7,Garden,2020,0.7,1.5,3.8,0.4,330000
37,CityCenter,2,2,1400,2200,1934,Condo,No,No,1,5,5,City,2007,0.2,0.5,0.8,0.2,220000
38,Rural,3,2,2000,8900,1992,SingleFamily,No,Yes,1,6,6,Mountain,2013,2.3,8.9,16.8,1.3,360000
39,Suburban,4,3,2400,7600,1997,SingleFamily,Yes,Yes,2,7,7,Garden,2019,0.6,1.4,3.6,0.3,320000
40,CityCenter,2,1,1100,2100,1943,Condo,No,No,1,4,5,City,2002,0.1,0.4,0.7,0.1,210000
41,Suburban,4,3,2200,7400,1987,SingleFamily,Yes,Yes,2,7,6,Garden,2016,0.4,1.6,3.7,0.3,310000
42,CityCenter,2,2,1500,2400,1939,Condo,No,No,1,5,5,City,2008,0.2,0.6,1.0,0.1,230000
43,Rural,3,2,2100,8800,1993,SingleFamily,No,Yes,1,6,6,Mountain,2015,2.1,8.8,16.7,1.3,370000
44,Suburban,4,3,2300,7500,1998,SingleFamily,Yes,Yes,2,7,7,Garden,2021,0.7,1.5,3.9,0.4,330000
45,CityCenter,2,2,1600,2500,1940,Condo,No,No,1,5,4,City,2009,0.1,0.4,0.7,0.1,240000
46,Suburban,5,4,3200,10400,2005,SingleFamily,Yes,Yes,2,8,8,Waterfront,2022,1.0,2.7,6.4,0.6,710000
47,CityCenter,1,1,900,800,1942,Condo,No,No,1,3,4,City,2003,0.2,0.6,0.9,0.1,190000
48,Suburban,4,3,2100,7000,1988,SingleFamily,Yes,Yes,2,7,6,Garden,2018,0.5,1.6,3.7,0.3,300000
49,Rural,3,2,1900,8600,1990,SingleFamily,No,Yes,1,6,5,Mountain,2014,2.0,8.6,16.4,1.2,350000
50,Suburban,4,3,2400,7500,1996,SingleFamily,Yes,Yes,2,7,7,Garden,2020,0.6,1.5,3.8,0.4,320000
